ID	CHROM	POS	#hg19
exm-rs9472414	6	44946506
exm-rs9786537	Y	14989721
exm-rs984222	1	119503843
exm-rs991258	3	101774043
exm-rs9967417	18	46959500
exm-rs9978142	21	35652239
exm1000476	12	49723183
exm1000543	12	49726851
exm100060	1	152282461
exm100079	1	152282635
exm1000811	12	49951296
exm1000946	12	49993652
exm1000957	12	49993815
exm1000997	12	49994658
exm1001317	12	50052307
exm1001820	12	50368200
exm1001895	12	50400395
exm1002144	12	50560987
exm1002256	12	50724444
exm1002257	12	50724450
exm1002260	12	50727706
exm1002286	12	50744581
exm1002301	12	50745415
exm1002414	12	50749221
exm1002436	12	50754577
exm1002570	12	51072591
exm1002744	12	51236806
exm1002774	12	51279068
exm1002777	12	51281091
exm1002794	12	51319117
exm1002952	12	51457549
exm1003073	12	51584296
exm1003130	12	51663050
exm1003264	12	51739648
exm1003470	12	51868968
exm1003479	12	51882535
exm1003868	12	52312771
exm1003972	12	52408888
exm1004745	12	52761153
exm1004754	12	52771933
exm1004877	12	52788945
exm1004941	12	52795099
exm1005021	12	52822156
exm1005337	12	52865517
exm1005558	12	52911701
exm1005638	12	52938428
exm1005645	12	52938512
exm1005673	12	52941682
exm1005783	12	52963660
exm1005831	12	52966428
exm1005850	12	52967342
exm1005856	12	52967368
exm100586	1	152323087
exm1005969	12	52994925
exm1006016	12	53004545
exm1006284	12	53071246
exm1006381	12	53086342
exm1006522	12	53164879
exm1006542	12	53165991
exm100658	1	152324311
exm1006710	12	53189788
exm1006715	12	53200921
exm100726	1	152325546
exm1007737	12	53515124
exm1007744	12	53516930
exm1007766	12	53552336
exm1007818	12	53566174
exm1008129	12	53662964
exm1008297	12	53682043
exm1008454	12	53700836
exm1008551	12	53715187
exm1008645	12	53776449
exm1008656	12	53776673
exm1008892	12	53877254
exm1008942	12	53896877
exm1009039	12	53994750
exm1009081	12	54107597
exm1009114	12	54110127
exm100936	1	152329307
exm1009375	12	54422549
exm100938	1	152329369
exm1009415	12	54427360
exm100947	1	152329530
exm1009485	12	54577514
exm1009556	12	54686186
exm100957	1	152329758
exm1009738	12	54793719
exm1009741	12	54793733
exm1010291	12	55368254
exm1010338	12	55523587
exm1010454	12	55641331
exm1010490	12	55688418
exm1010492	12	55688454
exm1010515	12	55688928
exm1010516	12	55688938
exm101055	1	152484260
exm1010633	12	55726139
exm1010636	12	55726231
exm1010643	12	55726368
exm1010685	12	55794350
exm101073	1	152488101
exm1010813	12	55846538
exm1010831	12	55846794
exm1010840	12	55862990
exm1010852	12	55863224
exm1010976	12	55945816
exm1011018	12	56031191
exm1011043	12	56075594
exm1011140	12	56086986
exm1011532	12	56221294
exm1011537	12	56221464
exm1011602	12	56231386
exm1011603	12	56231389
exm1011626	12	56233305
exm1011839	12	56350977
exm1011928	12	56365381
exm1012427	12	56526301
exm1012636	12	56558318
exm1012901	12	56630444
exm1012902	12	56630447
exm101304	1	152692074
exm101314	1	152692514
exm101329	1	152732106
exm1013375	12	56748295
exm1013431	12	56755823
exm1013450	12	56811736
exm1013558	12	56818577
exm1013583	12	56822345
exm1013587	12	56822378
exm1013918	12	56995647
exm1013921	12	56995856
exm1014015	12	57029969
exm1014122	12	57109931
exm1014327	12	57114061
exm1014340	12	57114307
exm1014402	12	57139834
exm1014507	12	57327991
exm1014537	12	57348843
exm1014757	12	57407173
exm1014868	12	57432609
exm1014902	12	57437736
exm1015013	12	57485513
exm1015248	12	57556158
exm1015574	12	57589981
exm101568	1	152785261
exm1015818	12	57606021
exm1016051	12	57662852
exm1016384	12	57870388
exm1016804	12	57928149
exm101699	1	152883163
exm1017069	12	58006864
exm1017149	12	58014193
exm1017183	12	58016624
exm101749	1	152883711
exm101751	1	152883786
exm101753	1	152883789
exm1017547	12	58131069
exm1017713	12	58159173
exm1017794	12	58166830
exm1017871	12	58190185
exm1017872	12	58190202
exm1017921	12	58200193
exm1018145	12	59270228
exm1018255	12	59313238
exm1018360	12	62749194
exm10186	1	6688578
exm1018699	12	63543807
exm1019082	12	64712444
exm1019095	12	64746764
exm1019278	12	64891037
exm1019331	12	65110586
exm1019747	12	66638926
exm1019766	12	66641657
exm1019926	12	66725181
exm1019947	12	66742817
exm1019990	12	66786091
exm1020133	12	67699406
exm1020422	12	68720635
exm1020514	12	69103039
exm102066	1	153276333
exm1020681	12	69250263
exm1020799	12	69742198
exm1020808	12	69743966
exm1021079	12	70087655
exm1021397	12	70974848
exm102148	1	153314115
exm1021611	12	71314150
exm1021630	12	71526474
exm1021649	12	71533534
exm1021755	12	71974058
exm1022051	12	72090233
exm1022053	12	72090284
exm1022076	12	72094627
exm1022078	12	72094690
exm1022142	12	72278705
exm1022218	12	72335364
exm1022226	12	72338074
exm1022309	12	72666650
exm1022332	12	72680654
exm1022417	12	75442012
exm1022491	12	75683412
exm1022800	12	76424952
exm102303	1	153431406
exm1023040	12	77208936
exm1023107	12	77419341
exm1023175	12	77439823
exm102318	1	153507710
exm1023363	12	78513584
exm102341	1	153512612
exm1023563	12	80083520
exm1023580	12	80169711
exm1023587	12	80182461
exm1023839	12	80714288
exm1023907	12	80747209
exm1024022	12	80889829
exm1024054	12	80935906
exm1024148	12	81102342
exm102422	1	153580623
exm1024421	12	82070607
exm1024464	12	82752133
exm1024575	12	83251120
exm1024660	12	85255418
exm1024715	12	85277561
exm1024790	12	85439814
exm1024816	12	85449499
exm1024871	12	85459071
exm1024974	12	85546802
exm1025157	12	86373221
exm1025240	12	88388444
exm1025246	12	88390181
exm102527	1	153617603
exm1025284	12	88440676
exm1025460	12	88508876
exm1025495	12	88523494
exm1025670	12	89819011
exm1025694	12	89865394
exm1025711	12	89891026
exm1025765	12	89917741
exm1025927	12	91357938
exm1025956	12	91366649
exm1026078	12	91552082
exm1026145	12	92816341
exm1026159	12	92818497
exm1026218	12	93100895
exm1026238	12	93135267
exm1026625	12	94603406
exm1026861	12	94805540
exm102693	1	153660154
exm1026947	12	94976269
exm1027067	12	95488416
exm1027106	12	95566414
exm1027249	12	95660360
exm1027623	12	96292170
exm1027678	12	96350571
exm1027735	12	96368014
exm1027740	12	96370232
exm1027774	12	96374600
exm1027828	12	96387240
exm102789	1	153733358
exm1027984	12	96641300
exm1028330	12	97339473
exm1028337	12	97345753
exm1028400	12	98926960
exm1028422	12	98927366
exm1028427	12	98927469
exm1028549	12	99007656
exm1028674	12	99060109
exm1028685	12	99061365
exm1028811	12	99640141
exm1028851	12	100042040
exm1028920	12	100441815
exm102911	1	153749062
exm1029262	12	100732307
exm1029543	12	101336201
exm1029685	12	101581185
exm1029720	12	101603296
exm1029826	12	101693461
exm1029878	12	101706054
exm1029925	12	101728205
exm1030139	12	101779896
exm1030164	12	101876659
exm10302	1	6705874
exm1030337	12	102091758
exm1030426	12	102151014
exm103053	1	153785916
exm1030554	12	102179861
exm1030697	12	102572435
exm103072	1	153790569
exm1030805	12	102874115
exm1031322	12	104109666
exm1031324	12	104111548
exm103134	1	153905707
exm1031496	12	104152964
exm103151	1	153906724
exm1031977	12	104697927
exm1032028	12	104709640
exm1032107	12	105151105
exm1032181	12	105380185
exm1032232	12	105425638
exm1032264	12	105440705
exm1032335	12	105464395
exm1032541	12	105589384
exm1032787	12	106633521
exm1032834	12	106704948
exm1032861	12	106715421
exm1032888	12	106729944
exm1032989	12	106838243
exm1033100	12	107090161
exm1033247	12	107372111
exm1033335	12	107712983
exm1033429	12	108012053
exm1033464	12	108043042
exm1033473	12	108051292
exm1033592	12	108134918
exm1033785	12	108618567
exm1034109	12	108954894
exm10343	1	6741027
exm1034372	12	109182544
exm1034376	12	109182641
exm1034384	12	109182771
exm1034482	12	109217069
exm103477	1	153946515
exm1035098	12	109680276
exm1035327	12	109728077
exm1035689	12	109994870
exm1036321	12	110450971
exm1036413	12	110573210
exm1036640	12	110841439
exm1036715	12	110902920
exm1036796	12	110952892
exm1036861	12	111052219
exm1036910	12	111080154
exm1036923	12	111082911
exm1037087	12	111330892
exm1037111	12	111342586
exm1037842	12	112185166
exm103788	1	154143165
exm1037914	12	112221070
exm1038207	12	112580041
exm1038327	12	112622044
exm1038544	12	112688831
exm1038836	12	113346431
exm1038886	12	113355387
exm1038900	12	113357237
exm1038914	12	113357494
exm1039055	12	113405835
exm1039367	12	113550043
exm1039449	12	113573237
exm1039496	12	113599104
exm1039740	12	113645566
exm1039978	12	113756835
exm104008	1	154245214
exm1040090	12	113823050
exm104015	1	154245867
exm104020	1	154245918
exm1040411	12	114387907
exm1040422	12	114392976
exm1040433	12	114395678
exm1040611	12	115112554
exm1040736	12	116421024
exm1040739	12	116421133
exm1041038	12	117204676
exm1041112	12	117402583
exm1041171	12	117465917
exm1041173	12	117465930
exm1041295	12	117628132
exm1041615	12	118198833
exm1041630	12	118199278
exm1041706	12	118476128
exm1041807	12	118533432
exm1041818	12	118533560
exm1042137	12	119926602
exm1042157	12	119943064
exm1042237	12	120112229
exm1042354	12	120152068
exm1042406	12	120172154
exm1042506	12	120263003
exm1042930	12	120611473
exm1043079	12	120653458
exm1043188	12	120741366
exm1043360	12	120876307
exm1043429	12	120907309
exm104344	1	154437801
exm1043564	12	121001149
exm1043819	12	121176113
exm1044072	12	121448918
exm1044285	12	121622520
exm1044330	12	121660756
exm1044578	12	121790045
exm1044623	12	121858113
exm1044624	12	121858116
exm1044680	12	121878779
exm1045088	12	122257478
exm1045156	12	122277904
exm1045247	12	122337659
exm1045342	12	122395021
exm1045343	12	122395025
exm10454	1	7724727
exm1045500	12	122617979
exm1045636	12	122669310
exm1045776	12	122691045
exm104578	1	154548277
exm1045963	12	122745951
exm1046128	12	122861989
exm1046428	12	123071257
exm1046449	12	123082285
exm1046577	12	123187313
exm1046807	12	123282708
exm1046833	12	123286269
exm1047188	12	123425370
exm1047306	12	123463042
exm1047333	12	123463750
exm1047569	12	123485395
exm1047580	12	123489813
exm1048013	12	123915089
exm1048037	12	123950117
exm1048050	12	123950414
exm1048070	12	123950779
exm1048163	12	124093336
exm104823	1	154901589
exm1048733	12	124293351
exm1048744	12	124297780
exm1048951	12	124352505
exm1049033	12	124371744
exm1049052	12	124379261
exm1049055	12	124382363
exm1049122	12	124398890
exm1049124	12	124398913
exm1049239	12	124415916
exm1049349	12	124427306
exm1049626	12	124829305
exm1050519	12	125619360
exm1050581	12	125834697
exm1050637	12	126135368
exm1050829	12	129293372
exm1051048	12	130015620
exm1051586	12	131306314
exm1052058	12	132323250
exm1052598	12	132466997
exm1052832	12	132527903
exm1053165	12	132626138
exm1053243	12	132632495
exm1053453	12	132863015
exm1053582	12	133197068
exm1053646	12	133201324
exm1053647	12	133201327
exm1053926	12	133245025
exm1053927	12	133245032
exm1053994	12	133253180
exm1054045	12	133263886
exm1054126	12	133295382
exm1054151	12	133304654
exm1054318	12	133353246
exm1054349	12	133357405
exm10547	1	7797627
exm1054825	12	133682771
exm1054859	12	133732236
exm1054912	12	133768553
exm1054919	12	133778798
exm1054952	12	133780312
exm1054970	12	133803551
exm1055319	13	20233380
exm105539	1	155025894
exm105541	1	155025945
exm1055466	13	20412906
exm1055497	13	20426175
exm1055684	13	20763472
exm1055718	13	20797025
exm1055868	13	21215459
exm1056083	13	21549235
exm1056110	13	21555714
exm1056194	13	21563350
exm1056273	13	21732060
exm1056372	13	21751360
exm1056508	13	22275347
exm1056636	13	23905929
exm1056725	13	23908237
exm105681	1	155039225
exm1056981	13	23915265
exm1057048	13	23929307
exm1057090	13	23939323
exm1057109	13	24167505
exm1057563	13	24868888
exm105764	1	155106227
exm1057726	13	25009502
exm105792	1	155110700
exm1058435	13	25458381
exm1058471	13	25479542
exm1058478	13	25479706
exm1058480	13	25479744
exm1058508	13	25480590
exm1058516	13	25480715
exm1058579	13	25486944
exm1058581	13	25486977
exm1058583	13	25487001
exm105873	1	155151048
exm1058866	13	25835847
exm1058891	13	25842016
exm105923	1	155158634
exm1059264	13	26788993
exm1059375	13	27250812
exm105950	1	155160698
exm105955	1	155160813
exm1059629	13	28009031
exm1059747	13	28155529
exm1059939	13	28589322
exm1060274	13	29005406
exm1060320	13	29242615
exm1060473	13	29600340
exm1060486	13	29600642
exm1060691	13	30107104
exm1060830	13	31205004
exm1060877	13	31231778
exm1060878	13	31231779
exm1060893	13	31231976
exm1060998	13	31480670
exm106153	1	155178993
exm1061809	13	32893321
exm1061889	13	32907401
exm1061900	13	32910456
exm1061930	13	32911452
exm1062	1	979400
exm1062071	13	32929007
exm1062249	13	33017112
exm1062279	13	33018228
exm1062445	13	33344259
exm1062465	13	33344806
exm106266	1	155217631
exm1062693	13	33686967
exm1063241	13	36428667
exm1063324	13	36776061
exm1063400	13	36903533
exm1063542	13	37393950
exm1063680	13	37573407
exm106372	1	155226571
exm1063723	13	37583392
exm1063753	13	37595674
exm1063828	13	37678394
exm1063841	13	37678704
exm1063858	13	37679120
exm1064063	13	38320196
exm1064288	13	39265020
exm1064298	13	39265209
exm1064350	13	39266207
exm106438	1	155237803
exm1064429	13	39422629
exm1064705	13	39586850
exm106472	1	155240656
exm1064767	13	39587920
exm1064883	13	39621902
exm1064912	13	40175239
exm1064923	13	40229957
exm1065095	13	41134502
exm1065283	13	41515345
exm1065324	13	41556156
exm1065326	13	41556183
exm1065347	13	41642708
exm1065488	13	41791267
exm1065533	13	41834644
exm1065608	13	41933045
exm1065869	13	42404665
exm106599	1	155261551
exm1066204	13	42874596
exm1066214	13	42875044
exm1066533	13	43597772
exm1066585	13	43872493
exm1066640	13	43987003
exm1066859	13	45149752
exm1066910	13	45523975
exm1066988	13	45589616
exm1067175	13	46039290
exm1067197	13	46060632
exm1067305	13	46161262
exm1067373	13	46287804
exm1067460	13	46541673
exm1067561	13	46549648
exm1067581	13	46553958
exm1067585	13	46554011
exm106760	1	155291904
exm1067665	13	46627762
exm1067691	13	46641460
exm1067738	13	46705070
exm1067814	13	46918939
exm1067868	13	46946076
exm1067869	13	46946099
exm1067919	13	47243196
exm1068158	13	48575357
exm1068185	13	48619907
exm1068216	13	48664497
exm1068225	13	48669181
exm106828	1	155295405
exm1068296	13	48947542
exm1068330	13	48985925
exm106838	1	155296440
exm1068520	13	49281785
exm1068846	13	50050659
exm1069022	13	50129660
exm1069053	13	50204594
exm1069088	13	50205165
exm1069286	13	50589837
exm1069469	13	51826044
exm1069554	13	51921235
exm1069651	13	52249324
exm1069781	13	52439868
exm1069989	13	52544805
exm1070051	13	52586598
exm1070123	13	52603266
exm1070177	13	52604652
exm1070192	13	52605154
exm1070230	13	52657410
exm1070336	13	52715168
exm1070380	13	52730259
exm1070426	13	52952368
exm1070431	13	52952439
exm1070572	13	53035665
exm1070634	13	53049198
exm1070720	13	53250443
exm1070742	13	53277811
exm1070768	13	53298133
exm1070782	13	53313166
exm1070819	13	53419605
exm1070943	13	53616126
exm1070944	13	53616130
exm1071024	13	58207446
exm1071092	13	58209108
exm1071226	13	60565310
exm1071232	13	60566255
exm1071269	13	60686177
exm1071334	13	61102635
exm1071367	13	61985401
exm1071595	13	67802016
exm1071987	13	73349359
exm1071996	13	73350089
exm1072168	13	73636581
exm1072263	13	75861063
exm1072361	13	75936328
exm1072487	13	76195885
exm1072502	13	76287354
exm1072570	13	76381713
exm1072729	13	76419493
exm107333	1	155649220
exm107334	1	155649223
exm1073466	13	78176817
exm1073680	13	79190137
exm1073761	13	79908484
exm1074024	13	86368291
exm107409	1	155699030
exm1074110	13	86370555
exm107428	1	155706817
exm1074290	13	92101021
exm1074369	13	93518636
exm1074478	13	95114265
exm1074723	13	95727686
exm1074935	13	96238288
exm1074947	13	96239851
exm1074959	13	96242096
exm1075010	13	96293572
exm1075141	13	96515890
exm1075198	13	96555207
exm1075260	13	96636082
exm1075378	13	97639000
exm1075421	13	97639881
exm1075673	13	98896926
exm1075777	13	99083329
exm1076027	13	99358401
exm1076028	13	99358411
exm1076053	13	99368168
exm1076081	13	99376188
exm107614	1	155746245
exm1076192	13	99505689
exm1076221	13	99520490
exm1076759	13	100807260
exm1076792	13	100925464
exm1076845	13	101167798
exm1076957	13	101289878
exm1076979	13	101315285
exm107702	1	155837865
exm1077076	13	101753139
exm1077499	13	103343230
exm1077697	13	103389158
exm1077777	13	103393330
exm1077812	13	103395065
exm1077829	13	103395789
exm1077851	13	103396716
exm1077868	13	103397583
exm1077984	13	103419622
exm1078156	13	103510688
exm1078168	13	103514431
exm1078210	13	103515085
exm1078282	13	103527849
exm1078289	13	103528002
exm1078446	13	106142374
exm1078509	13	107823070
exm1078546	13	108518729
exm1078578	13	108861192
exm1078636	13	108862280
exm1078761	13	109472710
exm1078789	13	109535415
exm1079230	13	110823002
exm1079348	13	110855918
exm107939	1	155921941
exm1079462	13	111082914
exm1079617	13	111138145
exm1079673	13	111155510
exm1079795	13	111213781
exm1079984	13	111340101
exm1080035	13	111367876
exm1080329	13	111995152
exm1080484	13	113052398
exm1080532	13	113144007
exm1080885	13	113527952
exm1081	1	979748
exm1081408	13	113803479
exm1081425	13	113813005
exm1081458	13	113819398
exm1081483	13	113825992
exm1081666	13	113909074
exm1081704	13	113964153
exm1081910	13	114098886
exm1082061	13	114174993
exm1082143	13	114277574
exm1082202	13	114303693
exm1083053	13	115091008
exm1083054	13	115091019
exm1083067	13	115091330
exm1083409	14	20249286
exm1083420	14	20295627
exm1083636	14	20404046
exm1083657	14	20404331
exm1083683	14	20404671
exm1083711	14	20444012
exm108378	1	156144893
exm1083818	14	20502109
exm1083853	14	20502614
exm1083941	14	20585675
exm1083963	14	20586042
exm1084052	14	20665530
exm1084070	14	20665790
exm1084147	14	20692595
exm108417	1	156146751
exm1084177	14	20711179
exm1084194	14	20711524
exm1084209	14	20711852
exm1084337	14	20818708
exm1084348	14	20820404
exm1084609	14	20850156
exm1084768	14	20864781
exm1084926	14	20898434
exm1084995	14	20924167
exm1085012	14	20925199
exm1085123	14	20978969
exm1085151	14	21024852
exm1085203	14	21052414
exm1085339	14	21167660
exm1085355	14	21167927
exm1085362	14	21215746
exm1085395	14	21238322
exm1085423	14	21249869
exm1085439	14	21250196
exm1085461	14	21269977
exm1085478	14	21359987
exm1085495	14	21360216
exm1085559	14	21458649
exm1085560	14	21458668
exm1085566	14	21460700
exm1085836	14	21511541
exm10859	1	7902736
exm1085954	14	21544523
exm1086336	14	21762845
exm1086472	14	21811360
exm1086534	14	21831652
exm1086712	14	21869100
exm1086895	14	21961328
exm1087010	14	21991343
exm1087032	14	21991626
exm1087100	14	21993200
exm1087124	14	21993564
exm1087128	14	21993638
exm1087162	14	22038287
exm1087190	14	22038731
exm1087304	14	22133333
exm108759	1	156255327
exm108783	1	156255609
exm108835	1	156262945
exm1088621	14	23235810
exm1088625	14	23235839
exm1088681	14	23240042
exm1088730	14	23243171
exm1088732	14	23243191
exm1088757	14	23245147
exm108881	1	156264690
exm1088977	14	23345287
exm1089052	14	23355282
exm1089076	14	23371055
exm1089287	14	23450548
exm1089359	14	23467700
exm1089381	14	23468132
exm1089394	14	23495387
exm1089707	14	23549278
exm1089939	14	23652077
exm1090096	14	23816670
exm1090178	14	23828146
exm1090339	14	23851739
exm109047	1	156347834
exm1090645	14	23871727
exm1090875	14	23893148
exm109089	1	156352648
exm1091004	14	23939266
exm1091034	14	23945263
exm1091506	14	24458162
exm1091795	14	24531966
exm1091971	14	24551683
exm1091992	14	24566139
exm1092123	14	24573151
exm1092299	14	24606737
exm1092328	14	24607966
exm1092524	14	24632603
exm1092553	14	24635088
exm1092597	14	24647316
exm1092715	14	24653523
exm1092745	14	24654492
exm1092832	14	24659562
exm1092870	14	24662241
exm10929	1	7998277
exm1092969	14	24682614
exm1092981	14	24682774
exm1093067	14	24707862
exm1093438	14	24766000
exm1093486	14	24770039
exm1093533	14	24773309
exm1093686	14	24780915
exm1093687	14	24780918
exm1093721	14	24785635
exm1093798	14	24792197
exm1093844	14	24798433
exm1093885	14	24800501
exm109389	1	156526327
exm1093909	14	24802187
exm1093940	14	24806433
exm1094064	14	24839639
exm1094201	14	24878790
exm1094477	14	24909475
exm1094597	14	25045386
exm1094621	14	25076477
exm1094673	14	25101589
exm1095020	14	31081545
exm1095081	14	31143162
exm1095171	14	31355096
exm1095262	14	31416312
exm109528	1	156555764
exm109540	1	156561651
exm1095403	14	31590688
